gen,pop20,pop50,pop100,pop1000
0,2308.810217,2397.60432,2484.659442,2673.966644
1,2374.784452,2486.146582,2564.827736,2750.208192
2,2434.271677,2553.867651,2628.680383,2808.446674
3,2485.004246,2617.174657,2699.215719,2880.130787
4,2523.477722,2670.853582,2750.681588,2929.785932
5,2558.589285,2715.635753,2796.015282,2973.212976
6,2588.883741,2750.994881,2838.865505,2993.903099
7,2611.955878,2784.671102,2863.433412,3008.168632
8,2637.208602,2810.641547,2893.296371,3016.407503
9,2656.405263,2823.304258,2916.013509,3021.776754
10,2674.762942,2844.045447,2930.885056,3026.245775
11,2692.117714,2861.118147,2942.081463,3029.85921
12,2709.114464,2877.806438,2952.649647,3032.957078
13,2720.496674,2887.136269,2962.984296,3035.293935
14,2732.397656,2899.516433,2973.393674,3037.267339
15,2746.022713,2906.460919,2977.802815,3038.506435
16,2755.095302,2911.936794,2982.336341,3039.766094
17,2762.957866,2916.787004,2987.827343,3041.105983
18,2770.832133,2921.700434,2992.27763,3041.98986
19,2778.198848,2926.512677,2996.480167,3042.586421
20,2784.61328,2931.607526,2998.636151,3043.167648
21,2790.64396,2934.886893,3000.321376,3043.56465
22,2797.216035,2938.086108,3003.262582,3043.963785
23,2802.281897,2939.836607,3005.426118,3044.322217
24,2808.35854,2942.08346,3007.780684,3044.667669
25,2813.475327,2946.036623,3010.836881,3044.810605
26,2818.844354,2947.389398,3012.214847,3044.903605
27,2823.207123,2949.474545,3013.252864,3045.041875
28,2826.962493,2951.374661,3013.915644,3045.188624
29,2830.105829,2952.792103,3014.894309,3045.25185
30,2833.216141,2954.213872,3015.589748,3045.402808
31,2836.774385,2955.802977,3016.454541,3045.42637
32,2839.711761,2956.424446,3016.820921,3045.538863
33,2842.581012,2956.904877,3019.367182,3045.622075
34,2845.320667,2957.218835,3019.700747,3045.651233
35,2847.777024,2958.803539,3020.366352,3045.651233
36,2850.337051,2959.593459,3020.878283,3045.69436
37,2852.485311,2960.281294,3022.729739,3045.7796
38,2854.816547,2960.834667,3023.147938,3045.7796
39,2856.85095,2962.201136,3023.447565,3045.7796
40,2859.148429,2962.638152,3023.778714,3045.813003
41,2860.674413,2963.366406,3023.86462,3045.813003
42,2862.944873,2963.855332,3024.004275,3045.813003
43,2864.960991,2964.355182,3024.264886,3045.813003
44,2866.583762,2964.776513,3024.462127,3045.813003
45,2867.825452,2964.990692,3024.913766,3045.829868
46,2869.396317,2966.461979,3024.967416,3045.829868
47,2870.518072,2967.67861,3025.02562,3045.829868
48,2872.283282,2968.958908,3025.160196,3045.829868
49,2874.291937,2971.100274,3025.391949,3045.845311
50,2875.396823,2971.521372,3025.585122,3045.845311
51,2877.19172,2973.232495,3026.108196,3045.845311
52,2879.103454,2973.75077,3026.122306,3045.852194
53,2880.324859,2973.911085,3026.315482,3045.852194
54,2881.508435,2977.0781,3026.480578,3045.852194
55,2883.387622,2977.831029,3026.499518,3045.852194
56,2884.36075,2978.135262,3026.662878,3045.885448
57,2885.506653,2979.008011,3027.035926,3045.885448
58,2886.542122,2979.912826,3027.092405,3045.885448
59,2887.906778,2980.445511,3027.196059,3045.885448
60,2889.569842,2980.830079,3027.295094,3045.885448
61,2891.004176,2981.88775,3027.328331,3045.885448
62,2892.259131,2983.334122,3027.362068,3045.921436
63,2892.968567,2984.124549,3027.618519,3045.921436
64,2893.788185,2984.356427,3027.792275,3045.921436
65,2895.010338,2985.327326,3027.94928,3045.921436
66,2895.872135,2986.400583,3027.994321,3045.921436
67,2896.838232,2986.648957,3028.247483,3045.954838
68,2897.479774,2986.717181,3028.338514,3045.954838
69,2898.585014,2986.803667,3028.421262,3045.954838
70,2899.763955,2986.901045,3028.648585,3045.954838
71,2901.024486,2987.147711,3028.662444,3045.954838
72,2901.88666,2987.637897,3028.752208,3045.954838
73,2902.742461,2987.879831,3028.847187,3045.954838
74,2903.886209,2988.010552,3028.880822,3045.954838
75,2904.874866,2988.015731,3029.03791,3045.954838
76,2905.24353,2988.218682,3029.186718,3045.954838
77,2905.900098,2988.411217,3029.186718,3045.954838
78,2906.418544,2988.813486,3029.193817,3045.954838
79,2906.934721,2988.998691,3029.235778,3045.954838
80,2907.478454,2989.095121,3029.279991,3045.969576
81,2908.3001,2990.218732,3029.294743,3045.969576
82,2908.768167,2990.4121,3029.340519,3045.969576
83,2909.749452,2990.830111,3029.356417,3045.969576
84,2910.816822,2991.314159,3029.416873,3045.969576
85,2911.22493,2991.436326,3029.536719,3045.969576
86,2911.916274,2991.562136,3029.577203,3045.969576
87,2912.437587,2991.636347,3029.693336,3045.969576
88,2913.08389,2991.890952,3029.693336,3045.969576
89,2913.538022,2992.191148,3029.693336,3045.969576
90,2914.024189,2992.665515,3029.729323,3045.969576
91,2914.872097,2992.812788,3029.751585,3045.969576
92,2915.339026,2992.933855,3029.762412,3045.969576
93,2915.665425,2993.018108,3029.810134,3045.969576
94,2916.151664,2993.171234,3029.810134,3045.969576
95,2916.551826,2993.280238,3029.816063,3045.969576
96,2917.15712,2993.327798,3029.816063,3045.981671
97,2917.455556,2993.384504,3029.816946,3045.981671
98,2917.69743,2993.469634,3029.816946,3045.981671
99,2918.556225,2995.229855,3029.816946,3045.981671
100,2918.763363,2995.266607,3029.826119,3045.981671
101,2919.120769,2995.36118,3029.826119,3045.981671
102,2919.322352,2995.463438,3029.865606,3045.981671
103,2919.526432,2995.553879,3029.893219,3045.981671
104,2919.932007,2996.651437,3029.893219,3045.981671
105,2920.369025,2996.657267,3029.919345,3045.981671
106,2920.792406,2996.677196,3029.940317,3045.981671
107,2921.409722,2996.705495,3029.973719,3045.987316
108,2922.10622,2996.729384,3029.973719,3045.993523
109,2922.537617,2997.689386,3030.015188,3045.993523
110,2923.019845,2997.709605,3030.060715,3045.993523
111,2923.326788,2997.96609,3030.070045,3045.993523
112,2924.045789,2998.050298,3030.084115,3045.993523
113,2924.739377,2998.093892,3030.090239,3045.993523
114,2925.209868,2998.189504,3030.090239,3045.993523
115,2925.358076,2998.229372,3030.133329,3045.993523
116,2925.671747,2998.39349,3030.133329,3045.993523
117,2926.105388,2998.429125,3030.156004,3045.993523
118,2926.215234,2998.439588,3031.159953,3045.993523
119,2926.371695,2998.441436,3031.159953,3045.993523
120,2926.85453,2998.44782,3031.203043,3045.993523
121,2927.16059,2998.857554,3031.246133,3045.993523
122,2927.536732,2998.874256,3031.264502,3045.993523
123,2927.647547,2998.874256,3031.304696,3045.993523
124,2927.971358,2999.094927,3031.304696,3045.993523
125,2928.220131,2999.2162,3031.304696,3046.000493
126,2928.793117,2999.256402,3031.304696,3046.000493
127,2929.209121,2999.256402,3031.304696,3046.000493
128,2929.535568,2999.337831,3032.15486,3046.000493
129,2929.70856,3000.284806,3032.190484,3046.000493
130,2929.986333,3000.339747,3032.239195,3046.000493
131,2930.17972,3000.425682,3032.244366,3046.000493
132,2930.518798,3000.536022,3032.244366,3046.000493
133,2930.932983,3000.641828,3032.244366,3046.000493
134,2931.358699,3000.662864,3032.244366,3046.000493
135,2931.484513,3000.787225,3032.284829,3046.000493
136,2932.116632,3000.833184,3032.284829,3046.000493
137,2932.254174,3001.001628,3032.284829,3046.000493
138,2932.689297,3001.014935,3032.302895,3046.000493
139,2932.848919,3001.126846,3032.302895,3046.000493
140,2933.341647,3001.169956,3032.302895,3046.000493
141,2933.490942,3001.229024,3032.302895,3046.000493
142,2933.646634,3001.229024,3032.302895,3046.000493
143,2934.010684,3001.229024,3032.302895,3046.000493
144,2934.405545,3003.366452,3032.302895,3046.000493
145,2934.995952,3003.591079,3032.302895,3046.000493
146,2935.43951,3003.631274,3032.302895,3046.000493
147,2935.852696,3003.672728,3032.302895,3046.000493
148,2936.22094,3003.698391,3032.337906,3046.007376
149,2936.739424,3005.263595,3032.337906,3046.007376
150,2937.245525,3005.266858,3032.337906,3046.022819
151,2937.46218,3005.332222,3032.337906,3046.022819
152,2937.632696,3005.332222,3032.337906,3046.022819
153,2938.083222,3005.332222,3032.337906,3046.022819
154,2938.551864,3005.377991,3032.345392,3046.022819
155,2938.865997,3005.459209,3032.345392,3046.022819
156,2939.046689,3005.459209,3032.345392,3046.022819
157,2939.206583,3005.517499,3032.345392,3046.022819
158,2939.664083,3005.517499,3032.372526,3046.022819
159,2940.07,3005.517499,3032.372526,3046.022819
160,2940.519685,3005.535814,3032.372526,3046.022819
161,2940.76305,3005.535814,3032.372526,3046.025501
162,2941.128687,3005.678956,3032.391466,3046.025501
163,2941.473848,3005.678956,3032.391466,3046.025501
164,2941.913501,3005.678956,3032.404473,3046.025501
165,2942.118716,3005.678956,3032.418927,3046.025501
166,2942.236782,3005.722121,3032.418927,3046.025501
167,2942.313672,3005.755491,3032.418927,3046.025501
168,2942.674329,3005.795975,3032.443209,3046.025501
169,2942.805843,3005.795975,3032.443209,3046.025501
170,2942.919352,3005.826099,3032.443209,3046.025501
171,2943.056602,3006.1136,3032.476612,3046.025501
172,2943.535687,3006.597941,3032.476612,3046.025501
173,2943.802475,3006.597941,3032.519718,3046.025501
174,2944.171514,3006.678346,3032.519718,3046.025501
175,2944.372083,3008.136547,3032.527798,3046.025501
176,2944.443586,3008.222551,3032.527798,3046.025501
177,2944.786217,3008.222551,3032.527798,3046.025501
178,2944.927698,3008.222551,3032.527798,3046.025501
179,2945.415707,3009.497891,3032.527798,3046.025501
180,2945.61368,3009.497891,3032.527798,3046.025501
181,2945.798129,3009.504624,3032.548404,3046.025501
182,2946.092292,3009.545095,3032.548404,3046.025501
183,2946.28681,3009.545095,3032.548404,3046.025501
184,2946.664171,3009.545095,3032.548404,3046.025501
185,2946.850681,3009.545313,3032.548404,3046.025501
186,2947.18743,3009.545313,3032.548404,3046.025501
187,2947.382354,3009.570479,3032.548404,3046.025501
188,2947.906327,3009.575974,3032.548404,3046.025501
189,2948.171148,3009.575974,3032.588319,3046.025501
190,2948.481941,3009.575974,3032.588319,3046.025501
191,2948.917101,3009.575974,3032.588319,3046.025501
192,2949.514208,3009.575974,3032.588319,3046.025501
193,2949.573137,3009.575974,3032.588319,3046.025501
194,2949.995758,3009.575974,3032.588319,3046.025501
195,2950.322207,3010.367277,3032.588319,3046.025501
196,2950.720734,3010.367277,3032.588319,3046.025501
197,2950.747578,3010.458752,3032.588319,3046.025501
198,2950.800496,3011.497429,3032.588319,3046.025501
199,2950.892421,3011.497429,3032.588319,3046.025501
200,2950.984824,3011.497429,3032.588319,3046.025501
201,2951.024303,3011.569175,3032.588319,3046.025501
202,2951.128092,3011.586652,3032.588319,3046.025501
203,2951.55449,3011.586652,3032.588319,3046.025501
204,2951.782718,3011.586652,3032.588319,3046.025501
205,2952.206003,3013.335258,3032.588319,3046.025501
206,2952.581551,3013.335258,3032.588319,3046.025501
207,2953.155036,3013.335258,3032.588319,3046.025501
208,2953.326395,3013.375453,3032.588319,3046.025501
209,2953.562397,3013.375453,3032.588319,3046.025501
210,2953.728419,3015.062065,3032.588319,3046.025501
211,2953.85796,3015.140973,3032.588319,3046.025501
212,2954.249312,3015.156586,3032.588319,3046.025501
213,2954.417479,3015.156586,3032.588319,3046.031146
214,2954.726461,3015.196501,3032.588319,3046.031146
215,2954.838153,3015.196501,3032.588319,3046.031146
216,2955.029973,3015.247946,3032.588319,3046.031146
217,2955.250338,3015.247946,3032.588319,3046.031146
218,2955.487168,3015.272973,3032.588319,3046.031146
219,2955.703453,3015.31261,3032.588319,3046.031146
220,2955.980571,3015.358131,3032.588319,3046.031146
221,2956.33214,3015.358131,3032.588319,3046.031146
222,2956.409745,3015.394146,3032.588319,3046.031146
223,2956.679115,3016.091247,3032.588319,3046.031146
224,2956.815632,3016.37406,3032.588319,3046.031146
225,2957.262754,3016.922141,3032.588319,3046.031146
226,2957.746347,3017.100767,3032.588319,3046.031146
227,2957.860966,3017.100767,3032.588319,3046.031146
228,2958.156118,3017.100767,3032.588319,3046.031146
229,2958.368644,3018.38608,3032.588319,3046.031146
230,2958.648201,3018.38608,3032.588319,3046.031146
231,2958.789179,3018.479084,3032.588319,3046.031146
232,2958.949705,3018.756258,3032.588319,3046.031146
233,2959.203628,3018.889555,3032.588319,3046.031146
234,2959.491791,3018.889555,3032.588319,3046.031146
235,2959.567504,3018.927077,3032.588319,3046.031146
236,2959.998628,3018.927077,3032.588319,3046.031146
237,2960.244671,3018.930342,3032.588319,3046.031146
238,2960.355897,3019.00417,3032.588319,3046.031146
239,2960.502875,3019.00618,3032.588319,3046.031146
240,2960.717438,3019.00618,3032.588319,3046.031146
241,2960.911436,3019.00618,3032.588319,3046.031146
242,2961.066083,3019.00618,3032.588319,3046.031146
243,2961.387405,3019.00618,3032.588319,3046.031146
244,2961.767546,3019.017006,3032.588319,3046.031146
245,2962.179394,3019.054307,3032.588319,3046.031146
246,2962.738875,3019.054307,3032.588319,3046.031146
247,2962.974296,3019.054307,3032.588319,3046.031146
248,2963.118723,3019.054307,3032.588319,3046.031146
249,2963.730137,3019.054307,3032.588319,3046.031146
250,2963.785838,3019.054307,3032.588319,3046.031146
251,2964.189831,3019.153275,3032.588319,3046.031146
252,2964.369371,3019.153275,3032.588319,3046.031146
253,2964.678472,3019.199116,3032.588319,3046.031146
254,2964.831817,3019.200941,3032.588319,3046.031146
255,2964.876479,3019.200941,3032.588319,3046.046589
256,2965.135482,3019.200941,3032.588319,3046.046589
257,2965.322224,3019.200941,3032.588319,3046.046589
258,2965.448713,3019.200941,3032.588319,3046.046589
259,2965.701957,3019.241411,3032.588319,3046.046589
260,2966.430275,3019.247321,3032.588319,3046.046589
261,2966.559584,3019.247321,3032.588319,3046.046589
262,2966.599379,3019.247321,3032.588319,3046.046589
263,2966.630387,3019.247321,3032.588319,3046.046589
264,2966.828735,3019.247321,3032.588319,3046.046589
265,2967.396005,3019.247321,3032.588319,3046.046589
266,2967.613189,3019.247321,3032.588319,3046.046589
267,2968.006119,3019.247321,3032.588319,3046.046589
268,2968.244115,3019.705558,3032.588319,3046.046589
269,2968.664641,3019.705558,3032.588319,3046.052234
270,2968.725658,3019.705558,3032.588319,3046.060561
271,2968.810832,3020.267496,3032.588319,3046.060561
272,2968.939184,3020.389531,3032.588319,3046.060561
273,2969.191714,3020.522414,3032.588319,3046.060561
274,2969.353103,3020.522414,3032.588319,3046.060561
275,2969.534535,3020.522414,3032.588319,3046.060561
276,2969.74611,3020.522414,3032.588319,3046.060561
277,2970.010167,3020.648185,3032.588319,3046.060561
278,2970.488495,3020.906137,3032.588319,3046.060561
279,2970.731189,3020.922574,3032.588319,3046.060561
280,2971.049999,3020.922574,3032.588319,3046.060561
281,2971.083526,3020.922574,3032.588319,3046.060561
282,2971.127076,3020.948852,3032.588319,3046.060561
283,2971.231409,3020.978976,3032.588319,3046.060561
284,2971.721371,3020.978976,3032.588319,3046.060561
285,2971.827139,3020.978976,3032.588319,3046.060561
286,2972.258144,3021.008094,3032.588319,3046.060561
287,2972.524854,3021.008094,3032.588319,3046.060561
288,2972.750923,3021.008094,3032.588319,3046.060561
289,2972.808925,3021.010989,3032.588319,3046.060561
290,2973.010948,3021.049142,3032.588319,3046.060561
291,2973.324882,3021.069412,3032.588319,3046.060561
292,2973.469706,3021.069412,3032.588319,3046.060561
293,2973.587575,3021.069412,3032.603056,3046.060561
294,2973.600624,3021.108014,3032.603056,3046.060561
295,2973.919889,3021.147385,3032.603056,3046.060561
296,2974.250688,3021.147385,3032.603056,3046.060561
297,2974.530517,3021.147447,3032.603056,3046.060561
298,2974.724197,3021.181751,3032.603056,3046.060561
299,2974.79447,3021.181751,3032.603056,3046.060561
300,2975.029636,3021.221713,3032.603056,3046.060561
301,2975.121855,3021.221713,3032.603056,3046.060561
302,2975.48599,3021.221713,3032.603056,3046.060561
303,2975.689147,3021.221713,3032.603056,3046.060561
304,2975.877351,3021.221713,3032.603056,3046.060561
305,2975.928829,3021.221713,3032.603056,3046.060561
306,2976.344844,3021.221713,3032.603056,3046.060561
307,2976.462023,3021.221713,3032.603056,3046.060561
308,2977.03449,3021.221713,3032.603056,3046.060561
309,2977.151702,3021.221713,3032.603056,3046.060561
310,2977.607487,3021.221713,3032.603056,3046.060561
311,2977.730174,3021.221713,3032.603056,3046.060561
312,2978.161308,3021.221713,3032.603056,3046.060561
313,2978.396285,3021.221713,3032.603056,3046.060561
314,2978.513242,3021.221713,3032.603056,3046.060561
315,2978.606846,3021.221713,3032.603056,3046.060561
316,2978.72378,3021.224897,3032.603056,3046.060561
317,2978.849582,3021.224897,3032.603056,3046.060561
318,2979.09319,3021.224897,3032.603056,3046.060561
319,2979.311586,3021.224897,3032.603056,3046.060561
320,2979.347878,3021.224897,3032.603056,3046.060561
321,2979.652006,3021.224897,3032.603056,3046.060561
322,2979.80011,3021.224897,3032.603056,3046.060561
323,2979.98111,3021.224897,3032.603056,3046.060561
324,2980.092346,3021.224897,3032.603056,3046.060561
325,2980.652961,3021.286425,3032.603056,3046.060561
326,2980.906662,3021.286425,3032.603056,3046.060561
