a,b,c,d,e
1,2553.49865,2668.422528,2419.995696,2555.891933
2,2552.285337,2689.19149,2422.506873,2543.417003
3,2555.938296,2689.33542,2419.4729,2545.838732
4,2565.955671,2706.204298,2423.015626,2545.627247
5,2561.947859,2704.707548,2438.696056,2577.592118
6,2574.619477,2718.520133,2440.565435,2582.400934
7,2570.672979,2722.68004,2458.018203,2574.141894
8,2580.210658,2728.548916,2447.919683,2573.787374
9,2576.433019,2732.758549,2442.246926,2577.959444
10,2587.59332,2742.613889,2465.779124,2596.442169
11,2589.574906,2738.135971,2462.2077,2595.71672
12,2595.250894,2749.142515,2456.880227,2600.601213
13,2596.894466,2750.086304,2460.174546,2605.455868
14,2607.595345,2766.569221,2461.689431,2595.451999
15,2606.095336,2761.900308,2475.725493,2617.018922
16,2614.231406,2765.286155,2485.417789,2614.836423
17,2609.067405,2769.124121,2481.263765,2618.913809
18,2617.184204,2776.589585,2472.417931,2613.716
19,2612.358682,2780.733604,2481.066725,2617.089949
20,2628.069406,2781.380204,2495.072509,2627.764065
21,2619.333227,2785.265173,2489.001618,2625.107771
22,2630.839984,2787.227995,2495.465357,2627.408257
23,2630.704493,2788.694704,2494.216415,2619.998625
24,2640.734333,2803.454248,2487.558461,2630.986731
25,2632.709521,2790.602387,2505.255446,2632.12279
26,2637.229471,2799.20466,2512.643934,2635.169016
27,2643.097417,2807.171916,2511.544397,2645.784879
28,2646.527405,2807.817285,2506.183701,2643.907841
29,2647.743506,2804.876844,2496.606297,2642.588947
30,2658.082241,2810.182132,2523.236978,2653.768399
31,2654.754334,2813.884524,2521.184639,2644.683625
32,2657.017095,2817.529099,2517.400431,2644.147154
33,2654.35694,2821.332622,2520.197251,2652.51903
34,2660.343914,2821.901125,2509.6704,2649.685202
35,2671.438373,2817.829543,2528.841366,2651.013076
36,2670.353256,2832.615649,2519.658223,2653.974722
37,2667.131343,2827.310643,2518.391336,2656.55808
38,2676.664026,2820.575752,2525.015206,2655.559977
39,2678.34648,2829.878948,2527.71116,2653.006624
40,2680.25385,2834.142393,2534.319196,2664.376747
41,2681.698965,2827.472917,2528.739042,2657.542956
42,2691.677317,2835.40203,2541.370021,2666.467432
43,2678.790925,2839.460955,2536.055138,2669.32481
44,2684.599364,2839.74446,2523.515084,2668.799687
45,2688.175402,2836.231022,2545.511504,2679.150405
46,2696.600401,2841.884179,2543.323427,2678.938174
47,2690.877439,2840.583267,2540.783077,2674.010982
48,2702.903167,2847.604117,2545.13102,2681.502937
49,2696.463538,2842.263188,2548.097498,2668.880964
50,2695.878638,2851.113056,2551.323299,2672.562716
51,2703.334457,2845.810614,2548.958199,2668.877519
52,2707.800811,2857.70815,2553.383742,2678.009009
53,2711.254616,2836.198433,2558.219008,2678.024443
54,2714.501218,2848.450784,2546.394163,2684.07582
55,2715.262382,2847.883912,2556.667165,2683.472135
56,2715.661538,2854.081793,2561.430782,2684.740852
57,2713.877565,2852.626891,2552.031764,2678.617492
58,2722.405496,2851.339422,2550.992812,2686.229929
59,2712.203309,2852.996343,2562.743788,2687.636842
60,2725.69688,2857.114091,2576.233063,2694.781187
61,2716.592171,2863.169458,2561.738257,2687.426168
62,2726.494158,2867.236836,2567.699808,2685.794375
63,2725.5864,2864.408141,2568.88927,2687.197525
64,2728.81379,2856.832943,2564.745178,2687.453228
65,2721.964887,2864.052913,2565.557305,2696.098216
66,2731.307783,2861.005565,2577.278932,2685.502347
67,2728.578721,2862.833615,2574.764154,2693.311625
68,2736.23031,2861.121648,2566.667298,2691.000994
69,2736.180912,2870.524812,2573.829768,2690.45034
70,2728.851137,2866.203945,2573.498091,2694.344415
71,2734.466282,2878.397704,2566.830073,2701.526534
72,2740.784887,2871.640508,2572.254902,2700.276275
73,2735.253212,2870.392126,2570.480069,2695.213781
74,2738.781579,2878.491841,2585.316643,2696.701151
75,2740.937296,2870.708305,2591.460014,2699.588595
76,2742.603384,2872.951445,2582.427479,2693.74861
77,2743.62645,2878.115063,2579.167177,2702.054137
78,2756.279041,2876.923362,2589.238283,2700.005033
79,2749.491408,2878.923363,2572.4613,2708.587363
80,2743.990702,2876.673902,2588.75178,2706.256836
81,2747.925146,2874.688612,2582.375847,2706.996139
82,2755.370556,2883.214694,2593.189808,2698.943593
83,2755.405795,2879.169148,2589.049263,2709.999039
84,2751.07779,2879.381089,2593.063189,2703.642164
85,2748.502719,2880.074771,2588.420849,2716.217393
86,2758.428349,2880.325899,2589.443434,2706.430701
87,2752.806364,2883.415448,2590.946762,2704.747311
88,2758.318495,2882.08986,2593.528236,2709.73866
89,2765.308484,2881.684717,2589.368196,2712.328244
90,2759.505033,2882.550054,2596.861857,2706.513268
91,2760.699519,2886.078278,2595.072333,2705.855223
92,2765.372909,2892.488324,2593.309928,2711.352209
93,2761.638677,2890.565014,2605.429605,2715.070467
94,2756.555008,2883.577446,2589.223783,2714.741939
95,2772.93935,2883.708669,2607.335821,2710.596864
96,2772.369264,2888.535707,2598.094382,2703.811104
97,2770.66457,2883.689201,2595.727127,2715.590933
98,2774.009667,2892.435712,2592.339984,2721.810294
99,2770.71231,2894.041152,2601.377678,2715.177679
100,2770.139072,2892.249303,2596.198582,2721.378276
