gen,bestchrom,roulette,tournament
0,2522.647623,2342.911203,2545.52111
1,2688.538897,2342.911203,2589.829572
2,2832.90374,2437.431229,2738.390298
3,2881.093538,2437.431229,2821.191925
4,2881.093538,2437.431229,2981.858113
5,2920.349882,2506.866849,2994.457409
6,2920.349882,2506.866849,3010.51545
7,2980.686709,2506.866849,3022.887959
8,2980.686709,2506.866849,3022.887959
9,2997.105102,2595.86387,3022.887959
10,2997.105102,2595.86387,3023.126659
11,3002.347936,2595.86387,3023.126659
12,3010.906525,2595.86387,3023.126659
13,3010.906525,2623.047815,3023.126659
14,3014.194023,2623.047815,3024.968054
15,3021.513986,2623.047815,3032.604403
16,3021.513986,2623.047815,3032.604403
17,3021.513986,2623.047815,3035.122451
18,3028.026882,2623.047815,3035.122451
19,3028.026882,2623.047815,3035.122451
20,3029.091764,2623.047815,3036.513145
21,3029.091764,2623.047815,3036.513145
22,3029.091764,2623.047815,3037.763764
23,3029.091764,2623.047815,3037.763764
24,3029.091764,2623.047815,3037.763764
25,3029.091764,2623.047815,3037.763764
26,3029.091764,2623.047815,3037.763764
27,3036.564494,2623.047815,3037.763764
28,3038.368957,2623.047815,3037.763764
29,3038.368957,2623.047815,3037.763764
30,3041.811463,2623.047815,3037.763764
31,3041.811463,2623.047815,3037.763764
32,3042.432223,2623.047815,3037.763764
33,3042.432223,2623.047815,3041.811463
34,3042.432223,2623.047815,3041.811463
35,3042.432223,2749.304841,3041.811463
36,3042.432223,2749.304841,3041.811463
37,3042.432223,2749.304841,3041.811463
38,3042.432223,2749.304841,3041.811463
39,3042.432223,2749.304841,3041.811463
40,3042.432223,2749.304841,3041.811463
41,3042.432223,2749.304841,3041.811463
42,3042.432223,2749.304841,3041.811463
43,3042.432223,2749.304841,3041.811463
44,3042.432223,2749.304841,3041.811463
45,3042.432223,2749.304841,3041.811463
46,3042.432223,2749.304841,3041.811463
47,3042.432223,2749.304841,3041.811463
48,3042.432223,2749.304841,3041.811463
49,3042.432223,2749.304841,3041.811463
50,3042.432223,2749.304841,3041.811463
51,3042.432223,2749.304841,3041.811463
52,3042.432223,2749.304841,3041.811463
53,3042.432223,2749.304841,3041.811463
54,3042.432223,2749.304841,3041.811463
55,3042.432223,2749.304841,3041.811463
56,3042.432223,2749.304841,3041.811463
57,3042.432223,2749.304841,3041.811463
58,3042.432223,2749.304841,3041.811463
59,3042.432223,2749.304841,3041.811463
60,3042.432223,2749.304841,3041.811463
61,3042.432223,2762.575379,3041.811463
62,3042.432223,2762.575379,3041.811463
63,3042.432223,2762.575379,3041.811463
64,3042.432223,2762.575379,3041.811463
65,3042.432223,2762.575379,3041.811463
66,3042.432223,2762.575379,3041.811463
67,3042.432223,2762.575379,3041.811463
68,3042.432223,2762.575379,3041.811463
69,3042.432223,2762.575379,3041.811463
70,3042.432223,2762.575379,3041.811463
71,3042.432223,2762.575379,3041.811463
72,3042.432223,2762.575379,3041.811463
73,3042.432223,2762.575379,3041.811463
74,3042.432223,2762.575379,3041.811463
75,3042.432223,2762.575379,3041.811463
76,3042.432223,2762.575379,3041.811463
77,3042.432223,2762.575379,3041.811463
78,3042.432223,2762.575379,3041.811463
79,3042.432223,2762.575379,3041.811463
80,3042.432223,2762.575379,3041.811463
81,3042.432223,2762.575379,3041.811463
82,3042.432223,2762.575379,3041.811463
83,3042.432223,2762.575379,3041.811463
84,3042.432223,2762.575379,3041.811463
85,3042.432223,2762.575379,3041.811463
86,3042.432223,2762.575379,3041.811463
87,3042.432223,2762.575379,3041.811463
88,3042.432223,2762.575379,3041.811463
89,3042.432223,2874.920395,3041.811463
90,3042.432223,2874.920395,3041.811463
91,3042.432223,2874.920395,3041.811463
92,3042.432223,2874.920395,3041.811463
93,3042.432223,2874.920395,3041.811463
94,3042.432223,2874.920395,3041.811463
95,3042.432223,2874.920395,3041.811463
96,3042.432223,2874.920395,3041.811463
97,3042.432223,2874.920395,3041.811463
98,3042.432223,2874.920395,3041.811463
99,3042.432223,2874.920395,3041.811463
100,3042.432223,2874.920395,3041.811463
101,3042.432223,2874.920395,3041.811463
102,3042.432223,2874.920395,3041.811463
103,3042.432223,2874.920395,3041.811463
104,3042.432223,2874.920395,3041.811463
105,3042.432223,2878.365219,3041.811463
106,3042.432223,2881.37187,3041.811463
107,3042.432223,2881.37187,3041.811463
108,3042.432223,2881.37187,3041.811463
109,3042.432223,2881.37187,3041.811463
110,3042.432223,2881.37187,3041.811463
111,3042.432223,2881.37187,3041.811463
112,3042.432223,2881.37187,3041.811463
113,3042.432223,2881.37187,3041.811463
114,3042.432223,2881.37187,3041.811463
115,3042.432223,2881.37187,3041.811463
116,3042.432223,2881.37187,3041.811463
117,3042.432223,2881.37187,3041.811463
118,3042.432223,2881.37187,3041.811463
119,3042.432223,2911.013128,3041.811463
120,3042.432223,2911.013128,3041.811463
121,3042.432223,2911.013128,3041.811463
122,3042.432223,2911.013128,3041.811463
123,3042.432223,2911.013128,3041.811463
124,3042.432223,2911.013128,3041.811463
125,3042.432223,2911.013128,3041.811463
126,3042.432223,2911.013128,3041.811463
127,3042.432223,2911.013128,3041.811463
128,3042.432223,2911.013128,3041.811463
129,3042.432223,2911.013128,3041.811463
130,3042.432223,2911.013128,3041.811463
131,3042.432223,2911.013128,3041.811463
132,3042.432223,2961.568003,3041.811463
133,3042.432223,2961.568003,3041.811463
134,3042.432223,2961.568003,3041.811463
135,3042.432223,2961.568003,3041.811463
136,3042.432223,2961.568003,3041.811463
137,3042.432223,2961.568003,3041.811463
138,3042.432223,2961.568003,3041.811463
139,3042.432223,2961.568003,3041.811463
